COMMUNE;NOM_ECOLE;STATUT;LIEN_WWW;NB_EL_DERNIER_RELEVE;NB_1P_DERNIER_RELEVE;NB_2P_DERNIER_RELEVE;NB_3P_DERNIER_RELEVE;NB_4P_DERNIER_RELEVE;NB_5P_DERNIER_RELEVE;NB_6P_DERNIER_RELEVE;NB_7P_DERNIER_RELEVE;NB_8P_DERNIER_RELEVE;NB_CL_DERNIER_RELEVE;NB_EL_2018;NB_CL_2018;NB_EL_2017;NB_CL_2017;NB_EL_2016;NB_CL_2016;NB_EL_2015;NB_CL_2015;NB_EL_2014;NB_CL_2014;NB_EL_2013;NB_CL_2013;NB_EL_2012;NB_CL_2012;SHAPE.AREA;SHAPE.LEN
Chêne-Bougeries;Montagne;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Montagne.JPG;85.0;34.0;23.0;28.0;0.0;0.0;0.0;0.0;0.0;4.0;88.0;4.0;85.0;4.0;85.0;4.0;74.0;4.0;62.0;3.0;66.0;3.0;69.0;3.0;408.46970000000005;99.3197612614776
Chancy;Chancy;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Chancy.JPG;209.0;26.0;21.0;21.0;40.0;26.0;31.0;25.0;19.0;10.0;209.0;10.0;216.0;10.0;216.0;10.0;189.0;9.0;176.0;8.0;169.0;8.0;134.0;6.0;1349.613751;195.20178467633602
Chêne-Bourg;Floraire;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Floraire.JPG;73.0;18.0;20.0;18.0;17.0;0.0;0.0;0.0;0.0;4.0;75.0;4.0;78.0;4.0;78.0;4.0;77.0;4.0;72.0;4.0;72.0;4.0;86.0;4.0;562.75;125.54018244933602
Cologny;Cologny;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Cologny-Manoir.JPG;143.0;10.0;22.0;22.0;20.0;15.0;22.0;22.0;10.0;7.0;142.0;7.0;138.0;7.0;128.0;6.0;113.0;5.0;108.0;5.0;107.0;5.0;104.0;5.0;1600.06895;216.134228271586
Genève-Cité;Cropettes CM;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Cropettes primaire.JPG;187.0;0.0;0.0;0.0;0.0;60.0;47.0;45.0;35.0;9.0;173.0;9.0;177.0;9.0;191.0;10.0;201.0;10.0;216.0;11.0;227.0;12.0;228.0;12.0;1129.214897;220.32588041588002
Genève-Cité;Necker;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Necker.JPG;76.0;19.0;19.0;23.0;15.0;0.0;0.0;0.0;0.0;4.0;76.0;4.0;70.0;4.0;54.0;3.0;67.0;4.0;70.0;4.0;70.0;4.0;69.0;4.0;638.738601;101.46646196202201
Genève-Cité;Saint-Antoine;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Saint-Antoine.JPG;81.0;30.0;20.0;17.0;14.0;0.0;0.0;0.0;0.0;4.0;76.0;4.0;80.0;4.0;74.0;4.0;82.0;4.0;77.0;4.0;75.0;4.0;72.0;4.0;382.5623495;81.93065332854869
Genève-Eaux-Vives;Roches;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Roches.JPG;164.0;20.0;21.0;20.0;19.0;18.0;23.0;23.0;20.0;8.0;163.0;8.0;153.0;8.0;157.0;8.0;149.0;7.0;146.0;7.0;139.0;7.0;139.0;7.0;758.683403;142.80947262921802
Genève-Eaux-Vives;Vollandes;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Vollandes.JPG;300.0;30.0;20.0;22.0;19.0;57.0;52.0;55.0;45.0;15.0;281.0;14.0;287.0;13.0;284.0;14.0;283.0;14.0;273.0;13.0;272.0;14.0;275.0;13.0;2386.8466475;223.221099479748
Genève-Cité;Seujet;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Seujet.JPG;269.0;25.0;24.0;28.0;27.0;53.0;34.0;30.0;48.0;14.0;262.0;13.0;257.0;13.0;267.0;14.0;267.0;14.0;266.0;14.0;251.0;14.0;269.0;14.0;1850.4035495;188.51418397967302
Laconnex;Laconnex;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Laconnex.JPG;61.0;0.0;0.0;0.0;0.0;11.0;22.0;19.0;9.0;3.0;67.0;3.0;62.0;3.0;62.0;3.0;64.0;3.0;74.0;3.0;63.0;3.0;56.0;3.0;925.7737000000001;184.045446558548
Onex;François-Chavaz;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Onex François-Chavaz.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;922.459254;168.73822660942702
Lancy;Bachet-de-Pesay;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Bachet-de-Pesay.JPG;122.0;31.0;22.0;34.0;35.0;0.0;0.0;0.0;0.0;7.0;121.0;7.0;128.0;7.0;132.0;8.0;120.0;7.0;121.0;7.0;125.0;7.0;138.0;8.0;2671.2790465;401.27780095436503
Meyrin;Golette;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Meyrin Golette.JPG;153.0;39.0;38.0;25.0;30.0;21.0;0.0;0.0;0.0;8.0;155.0;8.0;127.0;7.0;140.0;8.0;136.0;7.0;146.0;8.0;134.0;7.0;117.0;7.0;1464.6398995;317.630195961446
Perly-Certoux;Perly-Certoux;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Perly-Certoux.JPG;279.0;30.0;28.0;37.0;35.0;28.0;39.0;49.0;33.0;14.0;284.0;14.0;285.0;14.0;281.0;14.0;286.0;14.0;290.0;14.0;286.0;14.0;282.0;14.0;2496.907149;450.281489283219
Genève-Petit-Saconnex;Vieusseux;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Vieusseux.JPG;151.0;36.0;35.0;41.0;39.0;0.0;0.0;0.0;0.0;8.0;162.0;8.0;158.0;8.0;150.0;8.0;152.0;8.0;139.0;7.0;145.0;7.0;150.0;7.0;637.65064;153.824523686074
Genève-Petit-Saconnex;Geisendorf-Poterie;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Geisendorf-Poterie.JPG;110.0;20.0;23.0;22.0;45.0;0.0;0.0;0.0;0.0;5.0;100.0;5.0;98.0;5.0;105.0;5.0;96.0;5.0;93.0;5.0;92.0;5.0;114.0;6.0;955.495554;191.506034446966
Genève-Plainpalais;Bertrand;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Bertrand.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;890.174743;184.95423062287102
Genève-Petit-Saconnex;Châteaubriand;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Châteaubriand.JPG;141.0;37.0;37.0;36.0;31.0;0.0;0.0;0.0;0.0;8.0;144.0;8.0;143.0;8.0;142.0;8.0;130.0;7.0;121.0;6.0;110.0;6.0;121.0;7.0;504.4924035;102.73875244469401
Genève-Petit-Saconnex;Saint-Jean;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Saint-Jean.JPG;156.0;0.0;0.0;0.0;0.0;41.0;48.0;33.0;34.0;7.0;159.0;8.0;151.0;7.0;159.0;8.0;171.0;8.0;155.0;8.0;155.0;8.0;140.0;7.0;2167.8628775;314.649052209691
Genève-Plainpalais;Allobroges Square;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Allobroges Square.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;343.903899;74.21186555579611
Genève-Plainpalais;Cité-Jonction;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Cité-Jonction.JPG;308.0;34.0;36.0;35.0;41.0;37.0;33.0;36.0;56.0;17.0;336.0;17.0;321.0;17.0;338.0;17.0;328.0;16.0;307.0;16.0;299.0;17.0;318.0;17.0;2468.8142975;355.376600399739
Genève-Plainpalais;Carl-Vogt;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Carl-Vogt.JPG;130.0;41.0;36.0;35.0;18.0;0.0;0.0;0.0;0.0;7.0;141.0;7.0;139.0;7.0;126.0;6.0;138.0;7.0;110.0;6.0;115.0;6.0;162.0;8.0;511.7964505;94.5508445590626
Genève-Petit-Saconnex;Liotard;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Liotard.JPG;355.0;44.0;36.0;46.0;54.0;46.0;42.0;48.0;39.0;17.0;339.0;17.0;356.0;17.0;363.0;18.0;373.0;18.0;358.0;17.0;341.0;17.0;324.0;15.0;2473.9915915;396.665124460077
Genève-Petit-Saconnex;Budé;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Budé I.JPG;401.0;44.0;48.0;26.0;33.0;75.0;51.0;64.0;60.0;19.0;328.0;16.0;338.0;16.0;353.0;16.0;332.0;16.0;323.0;15.0;313.0;15.0;329.0;15.0;1204.327146;194.77590595715301
Genève-Petit-Saconnex;Charles-Giron;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Charles-Giron.JPG;73.0;15.0;23.0;16.0;19.0;0.0;0.0;0.0;0.0;4.0;79.0;4.0;69.0;4.0;74.0;4.0;81.0;4.0;79.0;4.0;76.0;4.0;73.0;4.0;724.0314995;152.688023039866
Meyrin;Monthoux;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Meyrin Monthoux.JPG;113.0;28.0;19.0;32.0;34.0;0.0;0.0;0.0;0.0;6.0;120.0;6.0;154.0;8.0;134.0;7.0;127.0;6.0;130.0;6.0;125.0;6.0;129.0;6.0;1115.22855;183.982703472128
Carouge;Montfalcon;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Montfalcon.JPG;36.0;21.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;38.0;2.0;45.0;2.0;35.0;2.0;40.0;2.0;39.0;2.0;33.0;2.0;37.0;2.0;520.6515495;91.9143410045226
Carouge;La Tambourine;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/La Tambourine.JPG;387.0;33.0;48.0;42.0;54.0;44.0;66.0;47.0;53.0;19.0;375.0;18.0;378.0;18.0;360.0;17.0;331.0;16.0;321.0;16.0;297.0;15.0;318.0;16.0;2334.4238395;317.67670254237004
Carouge;Promenades;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Promenades.JPG;150.0;14.0;17.0;22.0;19.0;22.0;18.0;21.0;17.0;8.0;163.0;8.0;158.0;9.0;150.0;8.0;148.0;8.0;130.0;7.0;121.0;7.0;123.0;7.0;2197.3885475;427.8694812058
Veyrier;Pinchat;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Pinchat.JPG;319.0;28.0;45.0;40.0;38.0;37.0;38.0;49.0;44.0;15.0;315.0;15.0;315.0;15.0;332.0;15.0;292.0;14.0;287.0;13.0;279.0;13.0;231.0;10.0;2034.6641000000002;390.71029396874206
Confignon;Confignon;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Confignon.JPG;218.0;34.0;28.0;32.0;25.0;25.0;30.0;16.0;28.0;10.0;203.0;10.0;207.0;10.0;197.0;10.0;227.0;11.0;243.0;12.0;232.0;11.0;248.0;11.0;2157.418102;486.54795907175003
Versoix;Montfleury 2;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Versoix Montfleury.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;898.6171995;150.023310850983
Versoix;Bon-Séjour;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Versoix Bon-Séjour.JPG;56.0;19.0;19.0;18.0;0.0;0.0;0.0;0.0;0.0;3.0;60.0;3.0;51.0;3.0;74.0;4.0;70.0;4.0;83.0;4.0;82.0;4.0;78.0;4.0;1067.694655;236.515277962486
Genève-Eaux-Vives;Allières;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Allières.JPG;256.0;37.0;29.0;42.0;32.0;26.0;30.0;30.0;30.0;13.0;219.0;11.0;237.0;12.0;216.0;11.0;238.0;12.0;237.0;11.0;232.0;11.0;235.0;11.0;1311.994401;245.03144543170603
Grand-Saconnex;Grand-Saconnex Place;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Grand-Saconnex Place.JPG;148.0;0.0;0.0;0.0;0.0;39.0;27.0;49.0;33.0;7.0;173.0;8.0;194.0;9.0;182.0;9.0;203.0;9.0;211.0;9.0;197.0;9.0;116.0;6.0;876.5329035;200.23676576298402
Lancy;Tivoli;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Tivoli.JPG;389.0;51.0;50.0;43.0;50.0;49.0;54.0;47.0;45.0;19.0;382.0;19.0;379.0;19.0;395.0;19.0;365.0;18.0;363.0;18.0;342.0;18.0;337.0;17.0;4530.3494895;555.077314037509
Meyrin;Boudines;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Meyrin Boudines.JPG;299.0;49.0;43.0;36.0;30.0;48.0;32.0;35.0;26.0;15.0;275.0;14.0;300.0;15.0;274.0;13.0;270.0;14.0;235.0;12.0;250.0;13.0;271.0;13.0;3492.6648465;452.570292462568
Meyrin;Village;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Meyrin Village.JPG;355.0;25.0;33.0;29.0;22.0;67.0;55.0;62.0;62.0;17.0;330.0;17.0;385.0;18.0;391.0;18.0;371.0;18.0;343.0;17.0;350.0;17.0;353.0;17.0;2962.0035000000003;528.648824017269
Onex;Onex Village;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Onex Village.JPG;88.0;10.0;12.0;11.0;11.0;13.0;10.0;9.0;12.0;4.0;88.0;4.0;86.0;4.0;86.0;4.0;85.0;4.0;86.0;4.0;86.0;4.0;86.0;4.0;534.750199;148.419522999408
Pregny-Chambésy;Pregny-Fontaine;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Pregny La Fontaine.JPG;103.0;25.0;21.0;23.0;34.0;0.0;0.0;0.0;0.0;5.0;109.0;5.0;111.0;5.0;117.0;5.0;96.0;5.0;107.0;5.0;93.0;5.0;107.0;5.0;966.4448985;129.47004272677898
Vernier;Avanchet-Jura;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Avanchet-Jura.JPG;275.0;41.0;34.0;40.0;40.0;33.0;38.0;24.0;25.0;15.0;289.0;15.0;273.0;15.0;260.0;14.0;256.0;14.0;259.0;14.0;245.0;14.0;263.0;15.0;2602.4291955;337.134593129584
Avusy;Sézegnin;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Sézegnin.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;328.385;86.3693334182163
Carouge;Jacques-Dalphin;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Jacques-Dalphin.JPG;285.0;42.0;44.0;45.0;32.0;32.0;43.0;22.0;25.0;13.0;254.0;12.0;241.0;11.0;209.0;10.0;218.0;10.0;206.0;10.0;206.0;10.0;198.0;10.0;1157.9564;208.63771734651502
Bardonnex;Bossenaz;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Bossenaz.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;367.10505;104.50950602803701
Chêne-Bougeries;Belvédère;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Belvédère.JPG;169.0;22.0;18.0;30.0;17.0;21.0;20.0;24.0;17.0;8.0;168.0;8.0;161.0;8.0;141.0;7.0;133.0;6.0;134.0;6.0;138.0;7.0;144.0;7.0;1485.670101;225.069408871737
Chêne-Bourg;De Haller;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/De Haller.JPG;272.0;36.0;40.0;32.0;24.0;39.0;31.0;35.0;35.0;14.0;266.0;13.0;246.0;12.0;243.0;11.0;225.0;11.0;107.0;5.0;95.0;5.0;103.0;5.0;780.2415000000001;189.583037157329
Bardonnex;Compesières;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Compesières.JPG;229.0;29.0;30.0;32.0;30.0;19.0;15.0;25.0;49.0;11.0;214.0;10.0;207.0;10.0;200.0;10.0;205.0;10.0;192.0;9.0;190.0;9.0;189.0;9.0;633.152501;162.90398081705902
Soral;Soral;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Soral.JPG;64.0;19.0;15.0;17.0;13.0;0.0;0.0;0.0;0.0;3.0;53.0;3.0;59.0;3.0;60.0;3.0;54.0;3.0;38.0;2.0;47.0;2.0;40.0;2.0;366.9394505;90.4138163722397
Plan-les-Ouates;Saconnex d'Arve;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Saconnex d'Arve.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;1.0;17.0;1.0;16.0;0.0;110.98910000000001;46.7198597759741
Lancy;En Sauvy;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/En Sauvy.JPG;521.0;63.0;78.0;56.0;65.0;70.0;47.0;70.0;72.0;25.0;485.0;24.0;463.0;23.0;465.0;23.0;470.0;23.0;460.0;23.0;449.0;23.0;448.0;22.0;6408.567474;552.247598730417
Gy;Gy;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Gy.JPG;40.0;10.0;11.0;19.0;0.0;0.0;0.0;0.0;0.0;2.0;39.0;2.0;44.0;2.0;38.0;2.0;37.0;2.0;41.0;2.0;39.0;2.0;43.0;2.0;276.95085;100.646653556738
Genève-Eaux-Vives;Eaux-Vives;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Eaux-Vives.JPG;233.0;43.0;34.0;32.0;21.0;21.0;36.0;30.0;16.0;12.0;227.0;11.0;209.0;10.0;202.0;11.0;204.0;10.0;200.0;10.0;188.0;9.0;193.0;9.0;1878.323746;360.873087103556
Genève-Cité;Grottes;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Grottes.JPG;368.0;48.0;52.0;40.0;41.0;42.0;45.0;38.0;62.0;18.0;355.0;18.0;349.0;17.0;356.0;18.0;369.0;18.0;380.0;18.0;357.0;17.0;345.0;17.0;3583.1741315;369.955802624949
Genève-Petit-Saconnex;Vidollet;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Vidollet.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;102.0;5.0;99.0;5.0;96.0;5.0;98.0;5.0;954.92473;198.30344992938402
Genève-Plainpalais;Dumas;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Dumas.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;604.6384015;126.091782001089
Genève-Plainpalais;Pré-Jérôme;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Pré-Jérôme.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;422.4193;91.02507916116579
Genève-Plainpalais;Minoteries;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Minoteries.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;919.516699;162.711436973268
Avully;Gennecy;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Gennecy.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;303.96500000000003;76.8771925425847
Onex;Bois-Carrien;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Bois-Carrien.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1174.934504;246.175793055565
Genève-Eaux-Vives;Montchoisy;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Montchoisy.JPG;93.0;18.0;18.0;31.0;26.0;0.0;0.0;0.0;0.0;5.0;112.0;6.0;121.0;6.0;107.0;6.0;103.0;5.0;96.0;5.0;96.0;5.0;97.0;5.0;676.172401;163.639143014447
Genève-Petit-Saconnex;Pavillons d'Aïre;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Pavillons d'Aïre.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;621.3722145;210.912862705562
